cno4,occupation_title,occupation_title_english
7831,"Sastres, modistos, peleteros y sombrereros","Tailors, dressmakers, furriers and milliners"
7832,Patronistas para productos en textil y piel,Pattern makers for textile and leather products
7833,"Cortadores de tejidos, cuero, piel y otros materiales","Cutters for fabrics, leather, skin and other materials"
7834,"Costureros a mano, bordadores y afines","Hand sewers, embroiderers and the like"
7835,"Tapiceros, colchoneros y afines","Upholsterers, mattress makers and the like"
7836,Curtidores y preparadores de pieles,Tanners and leather preparers
7837,Zapateros y afines,Shoemakers and the like
7891,Buceadores,Divers
7892,Pegadores,Punchers
7893,"Clasificadores y probadores de productos (excepto alimentos, bebidas y tabaco)","Product sorters and testers (except food, beverages and tobacco)"
7894,Fumigadores y otros controladores de plagas y malas hierbas,Fumigators and other pest and weed controllers
7899,"Oficiales, operarios y artesanos de otros oficios no clasificados bajo otros epígrafes","Officials, workers and artisans of other trades not classified under other headings"
8111,Mineros y otros operadores en instalaciones mineras,Miners and other operators at mining facilities
8112,Operadores en instalaciones para la preparación de minerales y rocas,Operators in facilities for the preparation of minerals and rocks
8113,Sondistas y trabajadores afines,Surveyors and related workers
8114,Operadores de maquinaria para fabricar productos derivados de minerales no metálicos,Machinery operators to manufacture products derived from non-metallic minerals
8121,Operadores en instalaciones para la obtención y transformación de metales,Operators in facilities for obtaining and transforming metals
8122,"Operadores de máquinas pulidoras, galvanizadoras y recubridoras de metales","Operators of metal polishing, galvanizing and coating machines"
8131,Operadores en plantas industriales químicas,Operators in chemical industrial plants
8132,"Operadores de máquinas para fabricar productos farmacéuticos, cosméticos y afines","Machine operators for manufacturing pharmaceutical, cosmetic and related products"
8133,Operadores de laboratorios fotográficos y afines,Photographic and related laboratory operators
8141,Operadores de máquinas para fabricar productos de caucho y derivados de resinas naturales,Operators of machines to manufacture rubber products and derivatives of natural resins
8142,Operadores de máquinas para fabricar productos de material plástico,Machine operators for manufacturing plastic products
8143,Operadores de máquinas para fabricar productos de papel y cartón,Machine operators for manufacturing paper and cardboard products
8144,"Operadores de serrerías, de máquinas de fabricación de tableros y de instalaciones afines para el tratamiento de la madera y el corcho","Operators of sawmills, panel manufacturing machines and related installations for the treatment of wood and cork"
8145,Operadores en instalaciones para la preparación de pasta de papel y fabricación de papel,Operators in pulp preparation and paper manufacturing facilities
8151,"Operadores de máquinas para preparar fibras, hilar y devanar","Fiber preparation, spinning and winding machine operators"
8152,Operadores de telares y otras máquinas tejedoras,Operators of looms and other weaving machines
8153,Operadores de máquinas de coser y bordar,Sewing and embroidery machine operators
8154,"Operadores de máquinas de blanquear, teñir, estampar y acabar textiles","Textile bleaching, dyeing, printing and finishing machine operators"
8155,Operadores de máquinas para tratar pieles y cuero,Fur and leather treatment machine operators
8156,"Operadores de máquinas para la fabricación del calzado, marroquinería y guantería de piel","Machine operators for the manufacturing of footwear, leather goods and leather gloves"
8159,Operadores de máquinas para fabricar productos textiles no clasificados bajo otros epígrafes,Operators of machines for manufacturing textile products not classified under other headings
8160,"Operadores de máquinas para elaborar productos alimenticios, bebidas y tabaco","Machine operators to produce food, beverage and tobacco products"
8170,Operadores de máquinas de lavandería y tintorería,Laundry and dry cleaning machine operators
8191,Operadores de hornos e instalaciones de vidriería y cerámica,Kiln operators and glass and ceramic installations
8192,Operadores de calderas y máquinas de vapor,Boiler and steam engine operators
8193,"Operadores de máquinas de embalaje, embotellamiento y etiquetado","Packaging, bottling and labeling machine operators"
8199,Operadores de instalaciones y maquinaria fijas no clasificados bajo otros epígrafes,Operators of fixed installations and machinery not classified under other headings
8201,Ensambladores de maquinaria mecánica,Mechanical machinery assemblers
8202,Ensambladores de equipos eléctricos y electrónicos,Assemblers of electrical and electronic equipment
8209,Montadores y ensambladores no clasificados en otros epígrafes,Assemblers and assemblers not classified elsewhere
8311,Maquinistas de locomotoras,Locomotive drivers
8312,Agentes de maniobras ferroviarias,Railway shunting agents
8321,Operadores de maquinaria agrícola móvil,Mobile agricultural machinery operators
8322,Operadores de maquinaria forestal móvil,Mobile forestry machinery operators
8331,Operadores de maquinaria de movimientos de tierras y equipos similares,Operators of earthmoving machinery and similar equipment
8332,"Operadores de grúas, montacargas y de maquinaria similar de movimiento de materiales","Operators of cranes, forklifts and similar material movement machinery"
8333,Operadores de carretillas elevadoras,Forklift operators
8340,"Marineros de puente, marineros de máquinas y afines","Deck sailors, engine sailors and the like"
8411,"Conductores propietarios de automóviles, taxis y furgonetas","Drivers who own cars, taxis and vans"
8412,"Conductores asalariados de automóviles, taxis y furgonetas","Salaried drivers of cars, taxis and vans"
8420,Conductores de autobuses y tranvías,Bus and tram drivers
8431,Conductores propietarios de camiones,Truck Owner Drivers
8432,Conductores asalariados de camiones,Salaried truck drivers
8440,Conductores de motocicletas y ciclomotores,Motorcycle and moped drivers
9100,Empleados domésticos,Domestic employees
9210,"Personal de limpieza de oficinas, hoteles y otros establecimientos similares","Cleaning staff for offices, hotels and other similar establishments"
9221,Limpiadores en seco a mano y afines,Hand dry cleaners and similar
9222,Limpiadores de vehículos,Vehicle cleaners
9223,Limpiadores de ventanas,window cleaners
9229,Otro personal de limpieza,Other cleaning staff
9310,Ayudantes de cocina,kitchen helpers
9320,Preparadores de comidas rápidas,Fast food preparers
9410,Vendedores callejeros,street vendors
9420,"Repartidores de publicidad, limpiabotas y otros trabajadores de oficios callejeros","Advertising delivery people, shoe shiners and other street workers"
9431,Ordenanzas,Ordinances
9432,Mozos de equipaje y afines,Baggage handlers and similar
9433,"Repartidores, recadistas y mensajeros a pie","Delivery drivers, messengers and couriers on foot"
9434,Lectores de contadores y recaudadores de máquinas recreativas y expendedoras,Meter readers and collectors of recreational and vending machines
9441,Recogedores de residuos,Waste collectors
9442,"Clasificadores de desechos, operarios de punto limpio y recogedores de chatarra","Waste sorters, clean point operators and scrap collectors"
9443,Barrenderos y afines,Sweepers and the like
9490,Otras ocupaciones elementales,Other elementary occupations
9511,"Peones agrícolas (excepto en huertas, invernaderos, viveros y jardines)","Agricultural laborers (except in orchards, greenhouses, nurseries and gardens)"
9512,"Peones agrícolas en huertas, invernaderos, viveros y jardines","Agricultural laborers in orchards, greenhouses, nurseries and gardens"
9520,Peones ganaderos,Livestock workers
9530,Peones agropecuarios,Agricultural laborers
9541,Peones de la pesca,fishing laborers
9542,Peones de la acuicultura,Aquaculture laborers
9543,Peones forestales y de la caza,Forestry and hunting laborers
9601,Peones de obras públicas,Public works laborers
9602,Peones de la construcción de edificios,Building construction laborers
9603,"Peones de la minería, canteras y otras industrias extractivas","Laborers in mining, quarries and other extractive industries"
9700,Peones de las industrias manufactureras,Laborers in manufacturing industries
9811,Peones del transporte de mercancías y descargadores,Freight transport workers and unloaders
9812,Conductores de vehículos de tracción animal para el transporte de personas y similares,Drivers of animal-drawn vehicles for the transportation of people and similar
9820,Reponedores,Replenishers
